"Scenario";"LUCC";"Model";"Region";"Years";"Metric";"Units";"Value";"NCP";"Source";"Signal change";"Original metric"
"SSP5xRCP8.5";"LUCC";"InVEST";"Global";"2015-2050";"Nitrogen retention";"%";-0,183310537442051;"Water quality";"Raster";TRUE;"n_export, non-area weighted"
"Historical";"LUCC";"InVEST";"Global";"1900-2015";"Pollination";"%";-28,02076043;"Pollination";"CSV";FALSE;"prop_pol_suff,  cropland area weighted mean"
"SSP1xRCP2.6";"LUCC";"InVEST";"Global";"2015-2050";"Pollination";"%";10,67346851;"Pollination";"CSV";FALSE;"prop_pol_suff,  cropland area weighted mean"
"SSP3xRCP6.0";"LUCC";"InVEST";"Global";"2015-2050";"Pollination";"%";-17,18142967;"Pollination";"CSV";FALSE;"prop_pol_suff,  cropland area weighted mean"
"SSP5xRCP8.5";"LUCC";"InVEST";"Global";"2015-2050";"Pollination";"%";-6,926083013;"Pollination";"CSV";FALSE;"prop_pol_suff,  cropland area weighted mean"
"Historical";"LUCC";"LPJ";"Global";"1920-2015";"Ecosystem carbon";"%";-0,501982288089133;"Climate regulation";"Raster";FALSE;"sum of cVeg, cSoil and cLitter"
"SSP1xRCP2.6";"LUCC";"LPJ";"Global";"2015-2050";"Ecosystem carbon";"%";2,21588367751954;"Climate regulation";"Raster";FALSE;"sum of cVeg, cSoil and cLitter"
"SSP3xRCP6.0";"LUCC";"LPJ";"Global";"2015-2050";"Ecosystem carbon";"%";1,34134865276423;"Climate regulation";"Raster";FALSE;"sum of cVeg, cSoil and cLitter"
"SSP5xRCP8.5";"LUCC";"LPJ";"Global";"2015-2050";"Ecosystem carbon";"%";1,00100796925879;"Climate regulation";"Raster";FALSE;"sum of cVeg, cSoil and cLitter"
"Historical";"LUCC";"LPJ-GUESS";"Global";"1920-2015";"Bioenergy production";"%";475,780415615303;"Bioenergy";"Raster";FALSE;"biocrop_production"
"SSP1xRCP2.6";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Bioenergy production";"%";109,739760328673;"Bioenergy";"Raster";FALSE;"biocrop_production"
"SSP3xRCP6.0";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Bioenergy production";"%";29,6568712679891;"Bioenergy";"Raster";FALSE;"biocrop_production"
"SSP5xRCP8.5";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Bioenergy production";"%";25,8395319526684;"Bioenergy";"Raster";FALSE;"biocrop_production"
"Historical";"LUCC";"LPJ-GUESS";"Global";"1920-2015";"Food and feed production";"%";268,288197845171;"Food and feed";"Raster";FALSE;"foodcrop_production"
"SSP1xRCP2.6";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Food and feed production";"%";9,37035202216024;"Food and feed";"Raster";FALSE;"foodcrop_production"
"SSP3xRCP6.0";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Food and feed production";"%";37,1448232493378;"Food and feed";"Raster";FALSE;"foodcrop_production"
"SSP5xRCP8.5";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Food and feed production";"%";38,4192613511738;"Food and feed";"Raster";FALSE;"foodcrop_production"
"Historical";"LUCC";"LPJ-GUESS";"Global";"1920-2015";"Nitrogen retention";"%";122,945993639542;"Water quality";"Raster";TRUE;"fNleach"
"SSP1xRCP2.6";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Nitrogen retention";"%";8,76851691094308;"Water quality";"Raster";TRUE;"fNleach"
"SSP3xRCP6.0";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Nitrogen retention";"%";20,8316819499398;"Water quality";"Raster";TRUE;"fNleach"
"SSP5xRCP8.5";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Nitrogen retention";"%";1,60000750272637;"Water quality";"Raster";TRUE;"fNleach"
"Historical";"LUCC";"LPJ-GUESS";"Global";"1920-2015";"Ecosystem carbon";"%";-3,31320691042419;"Climate regulation";"Raster";FALSE;"sum of cVeg, cSoil and cLitter"
"SSP1xRCP2.6";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Ecosystem carbon";"%";2,37478703179135;"Climate regulation";"Raster";FALSE;"sum of cVeg, cSoil and cLitter"
"SSP3xRCP6.0";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Ecosystem carbon";"%";0,460998119562334;"Climate regulation";"Raster";FALSE;"sum of cVeg, cSoil and cLitter"
"SSP5xRCP8.5";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Ecosystem carbon";"%";1,35771509723912;"Climate regulation";"Raster";FALSE;"sum of cVeg, cSoil and cLitter"
"Historical";"LUCC";"LPJ-GUESS";"Global";"1920-2015";"Timber production";"%";150,17281514043;"Materials";"Raster";FALSE;"woodharvest"
"SSP1xRCP2.6";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Timber production";"%";9,62941106299652;"Materials";"Raster";FALSE;"woodharvest"
"SSP3xRCP6.0";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Timber production";"%";31,5767556441468;"Materials";"Raster";FALSE;"woodharvest"
"SSP5xRCP8.5";"LUCC";"LPJ-GUESS";"Global";"2015-2050";"Timber production";"%";47,9370233181704;"Materials";"Raster";FALSE;"woodharvest"
