"Scenario";"LUCC";"Model";"Region";"Years";"Metric";"Taxa";"Units";"Value";"Scale";"Family";"Source";"Original_model_metric"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Birds";"%";0,070309157;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Birds";"%";0,722200006;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Birds";"%";0,672211526;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Birds";"%";-3,171753504;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Birds";"%";-3,801197111;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Birds";"%";-7,882212956;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"Historical";"LU";"AIM";"Global";"1900-2015";"Habitat extent (full dispersal)";"Mammals";"%";-0,676969;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Mammals";"%";-0,330759682;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Mammals";"%";4,749881852;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Mammals";"%";0,808274737;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Mammals";"%";-1,880535059;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Mammals";"%";3,854389481;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Mammals";"%";-3,00067927;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"Historical";"LU";"AIM";"Global";"1900-2015";"Habitat extent (full dispersal)";"Plants";"%";-7,053276;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Plants";"%";-1,118563478;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Plants";"%";1,065046854;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Plants";"%";0,277744331;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Plants";"%";-0,293023152;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Plants";"%";1,550448546;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Plants";"%";-2,538229435;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"Historical";"LU";"AIM";"Global";"1900-2015";"Habitat extent (full dispersal)";"Reptiles";"%";-4,604978;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Reptiles";"%";-0,701261399;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Reptiles";"%";1,000396357;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Reptiles";"%";2,4875407;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Reptiles";"%";3,452940329;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Reptiles";"%";7,199420736;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (full dispersal)";"Reptiles";"%";7,595544397;"GammaGlobal";"Hgamma";"CSV";"Zgamma_FullD"
"Historical";"LU";"AIM";"Global";"1900-2015";"Habitat extent (no dispersal)";"All";"%";-12,263095;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"All";"%";-3,294160395;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"All";"%";-3,558632169;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"All";"%";-2,941130477;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"All";"%";-10,62112452;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"All";"%";-12,41988367;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"All";"%";-17,32886339;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"Historical";"LU";"AIM";"Global";"1900-2015";"Habitat extent (no dispersal)";"Amphibians";"%";-15,853615;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Amphibians";"%";-5,15549134;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Amphibians";"%";-4,886468184;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Amphibians";"%";-3,708860931;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Amphibians";"%";-13,14730109;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Amphibians";"%";-14,22138603;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Amphibians";"%";-17,56677016;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"Historical";"LU";"AIM";"Global";"1900-2015";"Habitat extent (no dispersal)";"Birds";"%";-11,008053;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Birds";"%";-2,592269501;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Birds";"%";-3,114023042;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Birds";"%";-2,612363823;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Birds";"%";-9,791242948;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Birds";"%";-11,95065312;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Birds";"%";-17,10319914;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"Historical";"LU";"AIM";"Global";"1900-2015";"Habitat extent (no dispersal)";"Mammals";"%";-10,314441;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Mammals";"%";-3,157343251;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Mammals";"%";-3,104766687;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Mammals";"%";-2,541107322;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Mammals";"%";-10,50485392;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP3xRCP6.0";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Mammals";"%";-11,96482445;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP5xRCP8.5";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Mammals";"%";-16,8719787;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"Historical";"LU";"AIM";"Global";"1900-2015";"Habitat extent (no dispersal)";"Plants";"%";-15,630555;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP1xRCP2.6";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Plants";"%";-4,473398367;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP3xRCP6.0";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Plants";"%";-4,923304116;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP5xRCP8.5";"LU";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Plants";"%";-4,282020182;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
"SSP1xRCP2.6";"LUCC";"AIM";"Global";"2015-2050";"Habitat extent (no dispersal)";"Plants";"%";-12,1670893;"GammaGlobal";"Hgamma";"CSV";"Zgamma_NoD"
